metric,detection_rate,lead_med,lead_p25,lead_p75,n_detect
entropy,0.9259259259259259,-457.0,-459.0,-377.0,25.0
shannon_entropy,0.9259259259259259,-358.0,-416.0,-200.0,25.0
app_entropy,0.8888888888888888,-207.0,-287.5,-138.75,24.0
corr_dim,0.8518518518518519,-215.0,-363.5,-125.5,23.0
higuchi_fd,0.8148148148148148,-308.5,-361.75,-183.25,22.0
lepel_ziv,0.8148148148148148,-308.0,-377.5,-234.75,22.0
sampen,0.8148148148148148,-219.0,-276.0,-156.0,22.0
katz_fd,0.7777777777777778,-261.0,-376.0,-117.0,21.0
petrosian_fd,0.7777777777777778,-263.0,-336.0,-119.0,21.0
spectral_entropy,0.7777777777777778,-347.0,-424.0,-289.0,21.0
permutation_entropy,0.6296296296296297,-210.0,-308.0,-169.0,17.0
hurst,0.4444444444444444,-243.5,-320.25,-145.25,12.0
dfa,0.0,,,,
mfhurst_b,0.0,,,,
