station,metric,t0,t_sig,lead_min,event
MWSB,spectral_entropy,2024-05-10 18:40:00,,,20240510
MWSB,app_entropy,2024-05-10 18:40:00,2024-05-10 18:30:00,-10.0,20240510
MWSB,hurst,2024-05-10 18:40:00,2024-05-10 12:00:00,-400.0,20240510
MWSB,dfa,2024-05-10 18:40:00,,,20240510
MWSB,mfhurst_b,2024-05-10 18:40:00,,,20240510
MWSB,higuchi_fd,2024-05-10 18:40:00,2024-05-10 15:20:00,-200.0,20240510
MWSB,katz_fd,2024-05-10 18:40:00,2024-05-10 18:30:00,-10.0,20240510
MWSB,petrosian_fd,2024-05-10 18:40:00,2024-05-10 15:20:00,-200.0,20240510
MWSB,lepel_ziv,2024-05-10 18:40:00,2024-05-10 11:00:00,-460.0,20240510
MWSB,corr_dim,2024-05-10 18:40:00,2024-05-10 13:05:00,-335.0,20240510
THUL,entropy,2024-05-10 20:12:00,2024-05-10 12:35:00,-457.0,20240510
THUL,sampen,2024-05-10 20:12:00,2024-05-10 13:55:00,-377.0,20240510
THUL,permutation_entropy,2024-05-10 20:12:00,2024-05-10 19:30:00,-42.0,20240510
THUL,shannon_entropy,2024-05-10 20:12:00,2024-05-10 15:15:00,-297.0,20240510
THUL,spectral_entropy,2024-05-10 20:12:00,2024-05-10 15:45:00,-267.0,20240510
THUL,app_entropy,2024-05-10 20:12:00,2024-05-10 13:45:00,-387.0,20240510
THUL,hurst,2024-05-10 20:12:00,,,20240510
THUL,dfa,2024-05-10 20:12:00,,,20240510
THUL,mfhurst_b,2024-05-10 20:12:00,,,20240510
THUL,higuchi_fd,2024-05-10 20:12:00,2024-05-10 15:40:00,-272.0,20240510
THUL,katz_fd,2024-05-10 20:12:00,2024-05-10 19:30:00,-42.0,20240510
THUL,petrosian_fd,2024-05-10 20:12:00,,,20240510
THUL,lepel_ziv,2024-05-10 20:12:00,2024-05-10 12:55:00,-437.0,20240510
THUL,corr_dim,2024-05-10 20:12:00,2024-05-10 15:15:00,-297.0,20240510
PWNK,entropy,2024-05-10 20:12:00,2024-05-10 12:35:00,-457.0,20240510
PWNK,sampen,2024-05-10 20:12:00,2024-05-10 17:20:00,-172.0,20240510
PWNK,permutation_entropy,2024-05-10 20:12:00,2024-05-10 19:55:00,-17.0,20240510
PWNK,shannon_entropy,2024-05-10 20:12:00,2024-05-10 15:55:00,-257.0,20240510
PWNK,spectral_entropy,2024-05-10 20:12:00,2024-05-10 13:00:00,-432.0,20240510
PWNK,app_entropy,2024-05-10 20:12:00,2024-05-10 19:30:00,-42.0,20240510
PWNK,hurst,2024-05-10 20:12:00,2024-05-10 16:15:00,-237.0,20240510
PWNK,dfa,2024-05-10 20:12:00,,,20240510
PWNK,mfhurst_b,2024-05-10 20:12:00,,,20240510
PWNK,higuchi_fd,2024-05-10 20:12:00,2024-05-10 15:00:00,-312.0,20240510
PWNK,katz_fd,2024-05-10 20:12:00,2024-05-10 17:30:00,-162.0,20240510
PWNK,petrosian_fd,2024-05-10 20:12:00,,,20240510
PWNK,lepel_ziv,2024-05-10 20:12:00,2024-05-10 13:00:00,-432.0,20240510
PWNK,corr_dim,2024-05-10 20:12:00,2024-05-10 19:25:00,-47.0,20240510
NAIN,entropy,2024-05-10 20:10:00,2024-05-10 12:30:00,-460.0,20240510
NAIN,sampen,2024-05-10 20:10:00,2024-05-10 15:30:00,-280.0,20240510
NAIN,permutation_entropy,2024-05-10 20:10:00,2024-05-10 18:40:00,-90.0,20240510
NAIN,shannon_entropy,2024-05-10 20:10:00,2024-05-10 13:30:00,-400.0,20240510
NAIN,spectral_entropy,2024-05-10 20:10:00,2024-05-10 13:05:00,-425.0,20240510
NAIN,app_entropy,2024-05-10 20:10:00,2024-05-10 15:45:00,-265.0,20240510
NAIN,hurst,2024-05-10 20:10:00,,,20240510
NAIN,dfa,2024-05-10 20:10:00,,,20240510
NAIN,mfhurst_b,2024-05-10 20:10:00,,,20240510
NAIN,higuchi_fd,2024-05-10 20:10:00,2024-05-10 16:25:00,-225.0,20240510
NAIN,katz_fd,2024-05-10 20:10:00,2024-05-10 15:45:00,-265.0,20240510
NAIN,petrosian_fd,2024-05-10 20:10:00,2024-05-10 15:30:00,-280.0,20240510
NAIN,lepel_ziv,2024-05-10 20:10:00,2024-05-10 16:05:00,-245.0,20240510
NAIN,corr_dim,2024-05-10 20:10:00,2024-05-10 14:25:00,-345.0,20240510
TXBY,entropy,2024-05-10 21:01:00,2024-05-10 13:25:00,-456.0,20240510
TXBY,sampen,2024-05-10 21:01:00,2024-05-10 20:05:00,-56.0,20240510
TXBY,permutation_entropy,2024-05-10 21:01:00,2024-05-10 17:20:00,-221.0,20240510
TXBY,shannon_entropy,2024-05-10 21:01:00,2024-05-10 16:40:00,-261.0,20240510
TXBY,spectral_entropy,2024-05-10 21:01:00,2024-05-10 14:00:00,-421.0,20240510
TXBY,app_entropy,2024-05-10 21:01:00,2024-05-10 19:50:00,-71.0,20240510
TXBY,hurst,2024-05-10 21:01:00,,,20240510
TXBY,dfa,2024-05-10 21:01:00,,,20240510
TXBY,mfhurst_b,2024-05-10 21:01:00,,,20240510
TXBY,higuchi_fd,2024-05-10 21:01:00,2024-05-10 17:00:00,-241.0,20240510
TXBY,katz_fd,2024-05-10 21:01:00,,,20240510
TXBY,petrosian_fd,2024-05-10 21:01:00,2024-05-10 15:20:00,-341.0,20240510
TXBY,lepel_ziv,2024-05-10 21:01:00,2024-05-10 15:00:00,-361.0,20240510
TXBY,corr_dim,2024-05-10 21:01:00,2024-05-10 17:05:00,-236.0,20240510
APTY,entropy,2024-05-10 00:38:00,,,20240510
APTY,sampen,2024-05-10 00:38:00,,,20240510
APTY,permutation_entropy,2024-05-10 00:38:00,,,20240510
APTY,shannon_entropy,2024-05-10 00:38:00,,,20240510
APTY,spectral_entropy,2024-05-10 00:38:00,,,20240510
APTY,app_entropy,2024-05-10 00:38:00,,,20240510
APTY,hurst,2024-05-10 00:38:00,,,20240510
APTY,dfa,2024-05-10 00:38:00,,,20240510
APTY,mfhurst_b,2024-05-10 00:38:00,,,20240510
APTY,higuchi_fd,2024-05-10 00:38:00,,,20240510
APTY,katz_fd,2024-05-10 00:38:00,,,20240510
APTY,petrosian_fd,2024-05-10 00:38:00,,,20240510
APTY,lepel_ziv,2024-05-10 00:38:00,,,20240510
APTY,corr_dim,2024-05-10 00:38:00,,,20240510
OULU,entropy,2024-05-10 19:35:00,2024-05-10 11:55:00,-460.0,20240510
OULU,sampen,2024-05-10 19:35:00,2024-05-10 18:05:00,-90.0,20240510
OULU,permutation_entropy,2024-05-10 19:35:00,2024-05-10 19:05:00,-30.0,20240510
OULU,shannon_entropy,2024-05-10 19:35:00,2024-05-10 15:20:00,-255.0,20240510
OULU,spectral_entropy,2024-05-10 19:35:00,2024-05-10 15:20:00,-255.0,20240510
OULU,app_entropy,2024-05-10 19:35:00,2024-05-10 16:45:00,-170.0,20240510
OULU,hurst,2024-05-10 19:35:00,2024-05-10 17:50:00,-105.0,20240510
OULU,dfa,2024-05-10 19:35:00,,,20240510
OULU,mfhurst_b,2024-05-10 19:35:00,,,20240510
OULU,higuchi_fd,2024-05-10 19:35:00,2024-05-10 18:05:00,-90.0,20240510
OULU,katz_fd,2024-05-10 19:35:00,2024-05-10 18:10:00,-85.0,20240510
OULU,petrosian_fd,2024-05-10 19:35:00,,,20240510
OULU,lepel_ziv,2024-05-10 19:35:00,,,20240510
OULU,corr_dim,2024-05-10 19:35:00,2024-05-10 15:30:00,-245.0,20240510
DOMC,entropy,2024-05-10 18:45:00,2024-05-10 11:05:00,-460.0,20240510
DOMC,sampen,2024-05-10 18:45:00,,,20240510
DOMC,permutation_entropy,2024-05-10 18:45:00,2024-05-10 17:55:00,-50.0,20240510
DOMC,shannon_entropy,2024-05-10 18:45:00,2024-05-10 12:05:00,-400.0,20240510
DOMC,spectral_entropy,2024-05-10 18:45:00,2024-05-10 14:20:00,-265.0,20240510
DOMC,app_entropy,2024-05-10 18:45:00,2024-05-10 11:10:00,-455.0,20240510
DOMC,hurst,2024-05-10 18:45:00,,,20240510
DOMC,dfa,2024-05-10 18:45:00,,,20240510
DOMC,mfhurst_b,2024-05-10 18:45:00,,,20240510
DOMC,higuchi_fd,2024-05-10 18:45:00,2024-05-10 11:45:00,-420.0,20240510
DOMC,katz_fd,2024-05-10 18:45:00,2024-05-10 11:10:00,-455.0,20240510
DOMC,petrosian_fd,2024-05-10 18:45:00,2024-05-10 16:00:00,-165.0,20240510
DOMC,lepel_ziv,2024-05-10 18:45:00,2024-05-10 14:15:00,-270.0,20240510
DOMC,corr_dim,2024-05-10 18:45:00,,,20240510
KERG,entropy,2024-05-10 19:58:00,2024-05-10 12:20:00,-458.0,20240510
KERG,sampen,2024-05-10 19:58:00,2024-05-10 19:20:00,-38.0,20240510
KERG,permutation_entropy,2024-05-10 19:58:00,2024-05-10 17:00:00,-178.0,20240510
KERG,shannon_entropy,2024-05-10 19:58:00,2024-05-10 16:45:00,-193.0,20240510
KERG,spectral_entropy,2024-05-10 19:58:00,2024-05-10 14:00:00,-358.0,20240510
KERG,app_entropy,2024-05-10 19:58:00,2024-05-10 15:35:00,-263.0,20240510
KERG,hurst,2024-05-10 19:58:00,,,20240510
KERG,dfa,2024-05-10 19:58:00,,,20240510
KERG,mfhurst_b,2024-05-10 19:58:00,,,20240510
KERG,higuchi_fd,2024-05-10 19:58:00,2024-05-10 19:25:00,-33.0,20240510
KERG,katz_fd,2024-05-10 19:58:00,,,20240510
KERG,petrosian_fd,2024-05-10 19:58:00,2024-05-10 17:00:00,-178.0,20240510
KERG,lepel_ziv,2024-05-10 19:58:00,2024-05-10 14:05:00,-353.0,20240510
KERG,corr_dim,2024-05-10 19:58:00,2024-05-10 12:20:00,-458.0,20240510
CALG,entropy,2024-05-10 20:06:00,2024-05-10 12:30:00,-456.0,20240510
CALG,sampen,2024-05-10 20:06:00,2024-05-10 14:05:00,-361.0,20240510
CALG,permutation_entropy,2024-05-10 20:06:00,2024-05-10 17:05:00,-181.0,20240510
CALG,shannon_entropy,2024-05-10 20:06:00,2024-05-10 13:05:00,-421.0,20240510
CALG,spectral_entropy,2024-05-10 20:06:00,2024-05-10 13:55:00,-371.0,20240510
CALG,app_entropy,2024-05-10 20:06:00,2024-05-10 14:10:00,-356.0,20240510
CALG,hurst,2024-05-10 20:06:00,2024-05-10 14:30:00,-336.0,20240510
CALG,dfa,2024-05-10 20:06:00,,,20240510
CALG,mfhurst_b,2024-05-10 20:06:00,,,20240510
CALG,higuchi_fd,2024-05-10 20:06:00,2024-05-10 14:40:00,-326.0,20240510
CALG,katz_fd,2024-05-10 20:06:00,2024-05-10 14:20:00,-346.0,20240510
CALG,petrosian_fd,2024-05-10 20:06:00,2024-05-10 13:15:00,-411.0,20240510
CALG,lepel_ziv,2024-05-10 20:06:00,2024-05-10 16:40:00,-206.0,20240510
CALG,corr_dim,2024-05-10 20:06:00,2024-05-10 17:35:00,-151.0,20240510
KIEL2,entropy,2024-05-10 20:26:00,2024-05-10 12:50:00,-456.0,20240510
KIEL2,sampen,2024-05-10 20:26:00,2024-05-10 13:40:00,-406.0,20240510
KIEL2,permutation_entropy,2024-05-10 20:26:00,2024-05-10 17:10:00,-196.0,20240510
KIEL2,shannon_entropy,2024-05-10 20:26:00,2024-05-10 13:15:00,-431.0,20240510
KIEL2,spectral_entropy,2024-05-10 20:26:00,2024-05-10 17:55:00,-151.0,20240510
KIEL2,app_entropy,2024-05-10 20:26:00,2024-05-10 19:30:00,-56.0,20240510
KIEL2,hurst,2024-05-10 20:26:00,,,20240510
KIEL2,dfa,2024-05-10 20:26:00,,,20240510
KIEL2,mfhurst_b,2024-05-10 20:26:00,,,20240510
KIEL2,higuchi_fd,2024-05-10 20:26:00,2024-05-10 19:40:00,-46.0,20240510
KIEL2,katz_fd,2024-05-10 20:26:00,2024-05-10 13:45:00,-401.0,20240510
KIEL2,petrosian_fd,2024-05-10 20:26:00,2024-05-10 17:10:00,-196.0,20240510
KIEL2,lepel_ziv,2024-05-10 20:26:00,2024-05-10 12:50:00,-456.0,20240510
KIEL2,corr_dim,2024-05-10 20:26:00,2024-05-10 19:35:00,-51.0,20240510
NANM,entropy,2024-05-10 22:42:00,2024-05-10 15:05:00,-457.0,20240510
NANM,sampen,2024-05-10 22:42:00,,,20240510
NANM,permutation_entropy,2024-05-10 22:42:00,2024-05-10 19:20:00,-202.0,20240510
NANM,shannon_entropy,2024-05-10 22:42:00,2024-05-10 17:35:00,-307.0,20240510
NANM,spectral_entropy,2024-05-10 22:42:00,2024-05-10 17:55:00,-287.0,20240510
NANM,app_entropy,2024-05-10 22:42:00,2024-05-10 18:45:00,-237.0,20240510
NANM,hurst,2024-05-10 22:42:00,,,20240510
NANM,dfa,2024-05-10 22:42:00,,,20240510
NANM,mfhurst_b,2024-05-10 22:42:00,,,20240510
NANM,higuchi_fd,2024-05-10 22:42:00,2024-05-10 17:55:00,-287.0,20240510
NANM,katz_fd,2024-05-10 22:42:00,,,20240510
NANM,petrosian_fd,2024-05-10 22:42:00,,,20240510
NANM,lepel_ziv,2024-05-10 22:42:00,2024-05-10 17:15:00,-327.0,20240510
NANM,corr_dim,2024-05-10 22:42:00,2024-05-10 18:55:00,-227.0,20240510
CALM,entropy,2024-05-10 22:47:00,2024-05-10 15:10:00,-457.0,20240510
CALM,sampen,2024-05-10 22:47:00,2024-05-10 19:10:00,-217.0,20240510
CALM,permutation_entropy,2024-05-10 22:47:00,2024-05-10 21:45:00,-62.0,20240510
CALM,shannon_entropy,2024-05-10 22:47:00,2024-05-10 20:55:00,-112.0,20240510
CALM,spectral_entropy,2024-05-10 22:47:00,2024-05-10 16:05:00,-402.0,20240510
CALM,app_entropy,2024-05-10 22:47:00,2024-05-10 19:15:00,-212.0,20240510
CALM,hurst,2024-05-10 22:47:00,,,20240510
CALM,dfa,2024-05-10 22:47:00,,,20240510
CALM,mfhurst_b,2024-05-10 22:47:00,,,20240510
CALM,higuchi_fd,2024-05-10 22:47:00,2024-05-10 20:35:00,-132.0,20240510
CALM,katz_fd,2024-05-10 22:47:00,2024-05-10 16:55:00,-352.0,20240510
CALM,petrosian_fd,2024-05-10 22:47:00,2024-05-10 21:45:00,-62.0,20240510
CALM,lepel_ziv,2024-05-10 22:47:00,2024-05-10 15:10:00,-457.0,20240510
CALM,corr_dim,2024-05-10 22:47:00,2024-05-10 17:50:00,-297.0,20240510
BKSN,entropy,2024-05-10 22:20:00,2024-05-10 14:40:00,-460.0,20240510
BKSN,sampen,2024-05-10 22:20:00,2024-05-10 17:20:00,-300.0,20240510
BKSN,permutation_entropy,2024-05-10 22:20:00,2024-05-10 14:40:00,-460.0,20240510
BKSN,shannon_entropy,2024-05-10 22:20:00,2024-05-10 21:40:00,-40.0,20240510
BKSN,spectral_entropy,2024-05-10 22:20:00,2024-05-10 17:25:00,-295.0,20240510
BKSN,app_entropy,2024-05-10 22:20:00,2024-05-10 18:55:00,-205.0,20240510
BKSN,hurst,2024-05-10 22:20:00,,,20240510
BKSN,dfa,2024-05-10 22:20:00,,,20240510
BKSN,mfhurst_b,2024-05-10 22:20:00,,,20240510
BKSN,higuchi_fd,2024-05-10 22:20:00,2024-05-10 16:10:00,-370.0,20240510
BKSN,katz_fd,2024-05-10 22:20:00,2024-05-10 17:30:00,-290.0,20240510
BKSN,petrosian_fd,2024-05-10 22:20:00,2024-05-10 16:05:00,-375.0,20240510
BKSN,lepel_ziv,2024-05-10 22:20:00,2024-05-10 16:50:00,-330.0,20240510
BKSN,corr_dim,2024-05-10 22:20:00,2024-05-10 20:15:00,-125.0,20240510
JUNG,entropy,2024-05-10 22:35:00,2024-05-10 14:55:00,-460.0,20240510
JUNG,sampen,2024-05-10 22:35:00,2024-05-10 14:55:00,-460.0,20240510
JUNG,permutation_entropy,2024-05-10 22:35:00,2024-05-10 16:50:00,-345.0,20240510
JUNG,shannon_entropy,2024-05-10 22:35:00,2024-05-10 14:55:00,-460.0,20240510
JUNG,spectral_entropy,2024-05-10 22:35:00,,,20240510
JUNG,app_entropy,2024-05-10 22:35:00,2024-05-10 21:25:00,-70.0,20240510
JUNG,hurst,2024-05-10 22:35:00,2024-05-10 15:20:00,-435.0,20240510
JUNG,dfa,2024-05-10 22:35:00,,,20240510
JUNG,mfhurst_b,2024-05-10 22:35:00,,,20240510
JUNG,higuchi_fd,2024-05-10 22:35:00,2024-05-10 16:30:00,-365.0,20240510
JUNG,katz_fd,2024-05-10 22:35:00,2024-05-10 16:30:00,-365.0,20240510
JUNG,petrosian_fd,2024-05-10 22:35:00,2024-05-10 16:50:00,-345.0,20240510
JUNG,lepel_ziv,2024-05-10 22:35:00,,,20240510
JUNG,corr_dim,2024-05-10 22:35:00,,,20240510
JUNG1,entropy,2024-05-10 22:37:00,2024-05-10 15:00:00,-457.0,20240510
JUNG1,sampen,2024-05-10 22:37:00,2024-05-10 15:00:00,-457.0,20240510
JUNG1,permutation_entropy,2024-05-10 22:37:00,2024-05-10 22:25:00,-12.0,20240510
JUNG1,shannon_entropy,2024-05-10 22:37:00,2024-05-10 22:20:00,-17.0,20240510
JUNG1,spectral_entropy,2024-05-10 22:37:00,2024-05-10 15:00:00,-457.0,20240510
JUNG1,app_entropy,2024-05-10 22:37:00,,,20240510
JUNG1,hurst,2024-05-10 22:37:00,2024-05-10 15:10:00,-447.0,20240510
JUNG1,dfa,2024-05-10 22:37:00,,,20240510
JUNG1,mfhurst_b,2024-05-10 22:37:00,,,20240510
JUNG1,higuchi_fd,2024-05-10 22:37:00,2024-05-10 15:00:00,-457.0,20240510
JUNG1,katz_fd,2024-05-10 22:37:00,2024-05-10 15:15:00,-442.0,20240510
JUNG1,petrosian_fd,2024-05-10 22:37:00,2024-05-10 15:00:00,-457.0,20240510
JUNG1,lepel_ziv,2024-05-10 22:37:00,2024-05-10 22:15:00,-22.0,20240510
JUNG1,corr_dim,2024-05-10 22:37:00,2024-05-10 22:20:00,-17.0,20240510
YKTK,entropy,2024-05-10 19:43:00,2024-05-10 12:05:00,-458.0,20240510
YKTK,sampen,2024-05-10 19:43:00,2024-05-10 13:50:00,-353.0,20240510
YKTK,permutation_entropy,2024-05-10 19:43:00,2024-05-10 18:00:00,-103.0,20240510
YKTK,shannon_entropy,2024-05-10 19:43:00,2024-05-10 17:55:00,-108.0,20240510
YKTK,spectral_entropy,2024-05-10 19:43:00,2024-05-10 12:10:00,-453.0,20240510
YKTK,app_entropy,2024-05-10 19:43:00,2024-05-10 16:50:00,-173.0,20240510
YKTK,hurst,2024-05-10 19:43:00,,,20240510
YKTK,dfa,2024-05-10 19:43:00,,,20240510
YKTK,mfhurst_b,2024-05-10 19:43:00,,,20240510
YKTK,higuchi_fd,2024-05-10 19:43:00,2024-05-10 16:30:00,-193.0,20240510
YKTK,katz_fd,2024-05-10 19:43:00,2024-05-10 14:30:00,-313.0,20240510
YKTK,petrosian_fd,2024-05-10 19:43:00,2024-05-10 16:00:00,-223.0,20240510
YKTK,lepel_ziv,2024-05-10 19:43:00,2024-05-10 14:00:00,-343.0,20240510
