station,t0_threshold,t0_derivative,baseline_median,baseline_mad,baseline_start,baseline_end
MXCO,2024-05-10 21:18:00,2024-05-10 23:38:00,220.01262485260168,0.3203866252775356,2024-05-10,2024-05-10 06:00:00
DOMB,2024-05-10 19:28:00,2024-05-10 22:02:00,4.5201569031958675,0.01655538102500209,2024-05-10,2024-05-10 06:00:00
SOPO,2024-05-10 18:29:00,2024-05-10 21:10:00,269.11864461423545,0.3279337652082859,2024-05-10,2024-05-10 06:00:00
SOPB,2024-05-10 18:32:00,2024-05-10 21:15:00,128.32211545048344,0.14620183773212148,2024-05-10,2024-05-10 06:00:00
MWSN,2024-05-10 18:54:00,2024-05-10 21:46:00,227.2024391071941,0.6072718271004192,2024-05-10,2024-05-10 06:00:00
MWSB,2024-05-10 18:40:00,2024-05-10 21:37:00,26.053337473622502,0.041931294251458695,2024-05-10,2024-05-10 06:00:00
THUL,2024-05-10 20:12:00,2024-05-10 22:23:00,112.8119646444314,0.09544802119127382,2024-05-10,2024-05-10 06:00:00
PWNK,2024-05-10 20:12:00,2024-05-10 21:55:00,201.30833493401357,0.39325361075052,2024-05-10,2024-05-10 06:00:00
NAIN,2024-05-10 20:10:00,2024-05-10 22:06:00,196.18222675366707,0.26772151558500923,2024-05-10,2024-05-10 06:00:00
TXBY,2024-05-10 21:01:00,2024-05-10 22:29:00,94.75203145578271,0.19335012073403846,2024-05-10,2024-05-10 06:00:00
APTY,2024-05-10 00:38:00,2024-05-10 01:40:00,161.8003988580279,0.3315572482806317,2024-05-10,2024-05-10 06:00:00
OULU,2024-05-10 19:35:00,2024-05-10 22:17:00,98.56643867176508,0.14035294264164122,2024-05-10,2024-05-10 06:00:00
DOMC,2024-05-10 18:45:00,2024-05-10 21:32:00,16.871828295459604,0.04997999422122845,2024-05-10,2024-05-10 06:00:00
KERG,2024-05-10 19:58:00,2024-05-10 22:50:00,207.2975163460844,0.40701813067809667,2024-05-10,2024-05-10 06:00:00
CALG,2024-05-10 20:06:00,2024-05-10 22:06:00,275.87954059813126,0.326129417190657,2024-05-10,2024-05-10 06:00:00
KIEL2,2024-05-10 20:26:00,2024-05-10 22:56:00,162.34403395947442,0.2935991489636649,2024-05-10,2024-05-10 06:00:00
NANM,2024-05-10 22:42:00,2024-05-10 22:44:00,255.2280383458745,0.363910806348855,2024-05-10,2024-05-10 06:00:00
CALM,2024-05-10 22:47:00,2024-05-10 23:40:00,70.40997596688607,0.17937914861663273,2024-05-10,2024-05-10 06:00:00
BKSN,2024-05-10 22:20:00,2024-05-10 22:49:00,116.22326498022345,0.15203071650628885,2024-05-10,2024-05-10 06:00:00
JUNG,2024-05-10 22:35:00,2024-05-10 23:18:00,150.53267942623344,0.149487939143512,2024-05-10,2024-05-10 06:00:00
JUNG1,2024-05-10 22:37:00,2024-05-10 23:07:00,325.6065980447026,0.2768731628056571,2024-05-10,2024-05-10 06:00:00
YKTK,2024-05-10 19:43:00,2024-05-10 21:56:00,203.88230982149884,0.26161890006622457,2024-05-10,2024-05-10 06:00:00
LMKS,2024-05-10 21:40:00,2024-05-10 22:51:00,422.9426864900986,0.3947583018469345,2024-05-10,2024-05-10 06:00:00
NEWK,2024-05-10 21:00:00,2024-05-10 21:15:00,88.66230716653384,0.261348405375216,2024-05-10,2024-05-10 06:00:00
TERA,2024-05-10 18:59:00,2024-05-10 21:49:00,108.7828207288872,0.21769398765367498,2024-05-10,2024-05-10 06:00:00
IRK3,2024-05-10 21:39:00,2024-05-10 22:59:00,404.91918671597057,0.7489845459616333,2024-05-10,2024-05-10 06:00:00
DRBS,2024-05-10 21:55:00,2024-05-10 23:22:00,102.07711145404825,0.3677820162860712,2024-05-10,2024-05-10 06:00:00
INVK,2024-05-10 20:49:00,2024-05-10 22:22:00,176.72610311141827,0.17927334711492904,2024-05-10,2024-05-10 06:00:00
