DATETIME;ATHN;MXCO;NANM;CALM;ROME;AATB;BKSN;JUNG;JUNG1;LMKS;IRK2;IRK3;IRKT;DRBS;NEWK;KIEL2;YKTK;KERG;CALG;OULU;APTY;NRLK;TXBY;FSMT;INVK;JBGO;NAIN;PWNK;THUL;MWSN;SOPB;SOPO;DOMB;DOMC;TERA
2023-04-23 00:19:00; 55.791;222.300;256.210;   null;118.317;1264.400;122.983;155.163;341.734;422.220;344.600;372.000;170.000;107.943; 89.890;172.038;206.667;213.486;284.702;104.004;161.876;117.500; 94.533;204.320;187.130;260.290;200.280;200.800;118.680;221.922;134.530;277.890;  4.996; 18.652;111.352
2023-04-23 00:20:00; 56.355;217.133;257.781;   null;118.483;1286.100;123.444;156.728;354.011;417.491;345.300;371.000;165.000;108.908; 88.900;169.513;208.933;209.511;286.871; 99.611;168.072;124.950; 97.733;212.270;187.330;   null;198.310;204.840;115.280;221.658;135.590;275.150;  4.235; 18.075;109.176
2023-04-23 00:21:00; 53.496;220.417;258.022;   null;123.517;1303.300;126.024;154.430;353.296;421.591;343.980;   null;165.000;105.721; 89.590;166.216;211.467;213.003;289.594;102.059;166.690;122.520; 99.067;209.750;183.020;   null;200.920;206.350;116.000;217.880;135.690;279.570;  4.105; 18.167;113.766
2023-04-23 00:22:00; 53.672;220.367;261.318;   null;119.950;1299.900;122.377;155.127;347.723;421.437;351.600;374.000;167.000;104.391; 91.240;171.774;205.600;216.495;291.016; 99.387;167.268;120.400; 94.133;207.520;183.800;   null;201.740;204.980;115.630;212.010;136.060;280.570;  4.438; 17.574;113.766
2023-04-23 00:23:00; 54.619;225.350;264.218;   null;122.867;1282.300;125.089;153.656;341.761;425.919;353.100;376.000;168.000;103.469; 90.820;168.419;209.200;215.579;288.328;102.301;162.212;120.700; 96.933;210.450;186.520;   null;206.460;206.490;116.290;219.517;135.030;283.300;  4.697; 17.195;114.800
2023-04-23 00:24:00; 53.623;225.667;260.163;   null;123.633;1300.000;124.625;150.905;349.087;420.208;349.530;377.000;166.000;103.219; 90.670;163.515;209.333;213.003;287.204;102.624;166.479;121.630; 93.733;205.130;182.330;   null;203.230;211.800;114.540;220.442;136.740;287.300;  4.791; 17.601;110.553
2023-04-23 00:25:00; 53.200;222.383;257.349;   null;121.150;1286.900;119.079;152.654;355.309;419.175;344.060;377.000;166.000;106.810; 93.400;171.381;209.600;211.606;285.884; 94.826;164.996;117.220;100.533;206.530;180.110;253.840;198.360;202.780;118.690;222.922;136.550;284.950;  5.050; 19.804;107.905
2023-04-23 00:26:00; 54.738;223.517;259.128;   null;124.333;1301.800;123.025;157.965;348.542;419.522;346.960;369.000;166.000;104.434; 89.710;174.482;209.600;212.305;293.453;100.809;166.831;119.900; 98.533;212.760;184.390;   null;205.370;204.190;115.450;220.988;136.410;281.440;  4.847; 16.435;114.800
2023-04-23 00:27:00; 53.381;218.267;260.940;   null;117.867;1292.400;127.338;156.016;355.097;422.896;349.400;370.000;170.000;107.325; 90.820;170.031;208.267;211.606;288.192;102.896;167.098;120.220; 95.333;208.890;187.370;   null;198.070;213.430;117.670;213.548;135.230;280.310;  4.754; 18.150;111.352
2023-04-23 00:28:00; 53.073;215.067;257.073;   null;120.600;1282.800;122.618;153.247;348.932;415.045;346.600;370.000;169.000;100.740; 90.390;174.126;209.467;208.325;286.099;102.521;169.484;118.840; 98.133;205.470;181.450;   null;204.400;205.790;120.040;218.018;136.460;277.600;  4.439; 16.355;111.587
