DATETIME;ATHN;MXCO;NANM;CALM;ROME;AATB;BKSN;JUNG;JUNG1;LMKS;IRK2;IRK3;DRBS;NEWK;KIEL2;YKTK;KERG;CALG;OULU;APTY;TXBY;FSMT;INVK;JBGO;NAIN;PWNK;THUL;MWSN;SOPB;SOPO;DOMB;DOMC;TERA
2024-03-23 00:40:00;   null;217.234;258.905; 70.017;120.383;1291.150;119.210;154.138;349.187;401.277;339.605;404.000;106.836; 89.005;165.800;207.200;212.643;274.078;100.394;163.054; 97.933;198.690;177.275;   null;194.650;203.050;113.905;227.675;127.780;263.775;  4.665; 17.261;111.613
2024-03-23 00:42:00;   null;223.291;257.682; 70.358;121.583;1271.950;121.463;152.636;344.790;406.507;341.155;405.000;104.267; 88.780;168.107;206.867;209.437;274.308; 97.481;160.403; 96.067;197.295;177.025;247.750;195.575;200.175;112.655;225.645;129.200;265.640;  4.710; 16.705;107.042
2024-03-23 00:44:00;   null;220.200;260.194; 69.958;120.425;1297.900;121.639;154.414;348.423;404.036;339.065;408.500;104.504; 86.400;163.459;203.533;207.433;272.751;100.205;161.928; 96.467;202.165;179.455;247.850;195.265;195.855;112.580;227.700;128.315;266.995;  4.486; 16.114;109.355
2024-03-23 00:46:00;   null;220.817;254.279; 67.150;123.600;1273.600;124.020;153.058;346.527;397.738;340.065;411.500;102.915; 91.070;163.996;208.400;211.611;271.082; 97.852;167.590; 93.267;199.770;178.630;246.700;197.335;200.860;115.815;223.230;130.990;265.435;  4.414; 17.064;107.592
2024-03-23 00:48:00;   null;220.550;256.977; 67.958;122.717;1283.550;120.875;151.672;350.890;400.962;342.215;407.500;103.803; 88.625;166.647;205.733;214.270;272.992;100.871;164.571; 93.733;197.215;177.075;   null;195.965;200.835;113.165;225.975;128.400;268.650;  4.405; 17.152;107.922
2024-03-23 00:50:00;   null;218.725;256.787; 72.333;120.859;1274.750;119.360;147.874;351.121;395.702;337.465;405.000;104.192; 88.760;166.811;205.400;210.577;273.666; 99.680;161.520; 96.200;200.090;177.065;248.350;196.590;204.675;114.865;227.975;128.465;268.105;  4.565; 17.061;108.914
2024-03-23 00:52:00;   null;225.300;254.625; 71.025;118.409;1264.200;119.938;153.570;348.180;402.044;338.795;409.000;103.215; 92.295;161.886;202.267;210.958;268.972; 97.000;161.998; 96.800;200.495;178.075;248.400;192.965;204.270;114.695;227.710;128.775;271.800;  4.654; 16.379;108.144
2024-03-23 00:54:00;   null;220.691;257.721; 72.033;119.358;1276.050;120.446;152.630;347.710;400.429;338.185;408.000;106.161; 87.320;163.921;204.933;209.543;271.156; 99.120;161.081; 95.267;199.410;178.270;246.900;197.195;203.545;115.990;223.440;127.785;271.075;  4.735; 16.980;109.194
2024-03-23 00:56:00;   null;217.108;259.039; 71.175;123.241;1298.350;121.006;149.887;352.782;405.702;338.790;407.000;103.679; 88.420;164.545;205.933;214.108;272.534; 98.249;161.683; 97.600;198.335;179.635;248.450;194.760;197.010;111.445;223.805;128.600;268.945;  4.682; 16.907;105.894
2024-03-23 00:58:00;   null;219.375;253.005; 72.800;121.567;1276.050;120.553;152.450;345.958;400.449;337.720;411.000;103.786; 88.710;171.326;203.867;212.801;271.195; 97.194;161.506; 96.667;198.200;174.555;255.400;196.225;198.010;113.280;226.685;129.550;271.020;  4.458; 17.259;106.882
2024-03-23 01:00:00;   null;222.434;256.315; 72.650;121.550;1290.450;123.538;154.510;347.799;405.650;338.510;412.500;103.475; 90.290;167.755;204.600;211.003;269.525;101.039;164.637; 94.067;200.035;177.170;249.700;195.460;197.560;113.220;227.350;129.150;264.805;  5.065; 15.566;109.029
2024-03-23 01:02:00;   null;219.108;260.678; 69.733;120.825;1269.050;116.327;152.034;345.202;401.421;337.915;409.500;108.016; 87.850;164.520;203.467;210.897;274.123; 97.293;162.737; 97.467;197.520;175.595;   null;194.540;200.875;113.325;224.520;129.365;272.755;  4.556; 17.018;105.894
2024-03-23 01:04:00;   null;220.875;260.152; 69.975;120.917;1290.000;119.420;153.076;347.876;402.957;335.700;404.000;103.249; 92.425;167.248;205.200;210.348;269.777; 97.545;161.842; 98.333;198.250;177.230;250.500;197.910;200.585;113.630;224.460;127.545;264.575;  4.315; 16.038;107.101
2024-03-23 01:06:00;   null;220.517;254.541; 69.025;122.642;1281.150;116.470;152.894;354.911;402.398;338.040;415.500;102.900; 88.035;163.982;203.067;210.559;275.757;100.685;165.661; 97.667;201.000;177.380;249.650;189.520;204.540;113.135;226.600;128.285;268.175;  4.493; 17.279;107.649
2024-03-23 01:08:00;   null;219.484;258.500; 69.417;121.608;1272.450;118.123;149.707;347.712;406.091;338.300;405.000;103.250; 91.955;166.322;207.600;214.865;275.921; 98.158;164.932; 96.400;201.290;174.260;243.650;197.310;200.105;114.900;226.175;127.305;270.555;  4.413; 16.288;109.798
2024-03-23 01:10:00;   null;221.017;254.337; 69.967;122.625;1282.650;120.089;151.328;346.526;399.062;335.400;409.000;106.653; 90.125;165.741;203.400;214.974;272.136; 99.643;160.843; 96.400;199.310;177.535;248.850;196.330;202.840;116.440;228.495;128.340;266.635;  4.430; 17.207;108.257
2024-03-23 01:12:00;   null;224.775;256.349; 70.142;121.358;1280.750;121.525;153.617;353.151;396.326;338.165;405.500;102.353; 88.430;167.198;205.200;208.377;270.902;101.496;161.689; 95.800;201.215;174.540;   null;194.020;202.560;114.460;227.160;128.040;267.855;  4.564; 17.292;108.751
2024-03-23 01:14:00;   null;221.767;256.395; 73.617;122.808;1282.600;120.419;152.457;350.107;400.272;339.605;413.000;103.434; 87.420;165.403;207.933;212.680;272.684; 99.338;162.666; 96.267;201.395;176.690;   null;192.730;198.870;112.170;227.960;127.610;264.595;  4.377; 16.467;108.314
