DATETIME;MXCO;NANM;CALM;ROME;AATB;BKSN;JUNG;JUNG1;LMKS;IRK2;IRK3;DRBS;NEWK;KIEL2;YKTK;KERG;CALG;OULU;APTY;TXBY;FSMT;INVK;JBGO;NAIN;PWNK;THUL;MWSB;MWSN;SOPB;SOPO;DOMB;DOMC;TERA
2024-05-10 00:20:00;224.850;257.832; 71.433;122.167;1275.100;116.117;150.904;329.264;423.489;   null;407.000; 98.505; 89.210;159.978;203.733;208.695;282.686; 94.231;161.917; 96.000;193.670;173.630;   null;192.020;205.320;112.610; 25.490;229.020;129.500;269.120;  4.593; 16.238;110.361
2024-05-10 00:21:00;215.867;259.179; 66.933;121.017;1262.700;114.851;151.029;330.247;411.725;   null;414.000;102.404; 87.370;160.554;201.600;212.272;277.322; 96.382;158.938; 96.000;199.700;176.290;   null;193.160;205.560;114.250; 26.560;226.650;128.200;259.660;  5.027; 17.105;107.136
2024-05-10 00:22:00;221.100;256.398; 68.350;121.033;1268.000;113.906;154.272;327.286;422.875;   null;408.000;105.253; 86.170;163.894;202.267;214.382;275.411; 95.944;163.657; 93.467;201.450;175.580;251.000;197.150;197.320;108.450; 26.870;234.990;127.470;271.330;  4.431; 16.679;111.436
2024-05-10 00:23:00;222.650;255.540; 70.717;119.550;1254.000;115.564;154.536;319.018;418.271;   null;410.000;103.307; 87.640;156.909;202.533;216.785;275.145; 98.052;162.995; 96.133;200.440;176.190;248.100;195.700;195.390;113.110; 26.000;228.690;129.440;268.640;  4.142; 16.863;111.546
2024-05-10 00:24:00;220.733;258.618; 65.767;121.883;1264.300;119.587;150.898;328.094;421.586;   null;413.000; 98.311; 88.850;160.038;202.933;207.528;274.960; 95.730;156.364; 96.933;201.060;176.010;   null;198.330;195.920;114.350; 26.720;228.520;128.420;268.270;  4.703; 17.409;110.829
2024-05-10 00:25:00;216.850;253.737; 63.783;124.133;1291.800;114.864;147.800;316.942;426.551;   null;404.000;102.553; 88.680;168.015;208.933;209.214;271.937; 98.090;159.500; 98.533;197.560;184.370;   null;192.430;200.090;112.500; 26.500;228.890;127.210;269.360;  4.540; 16.683;108.928
2024-05-10 00:26:00;217.883;251.934; 68.600;121.967;1266.600;119.492;149.409;325.529;425.071;   null;408.000;103.020; 86.170;153.162;200.000;207.316;276.652; 99.293;162.748; 95.067;203.270;172.640;   null;191.520;197.570;111.180; 26.790;226.970;127.880;273.390;  4.450; 17.261;106.884
2024-05-10 00:27:00;217.817;248.627; 70.050;117.017;1262.400;116.024;150.811;330.999;429.180;   null;407.000;100.024; 86.520;166.724;206.667;212.053;280.276; 97.890;161.506; 93.200;201.020;172.400;   null;200.960;202.710;113.510; 25.480;225.500;129.030;268.870;  4.414; 16.350;107.242
2024-05-10 00:28:00;222.983;254.242; 71.217;120.617;1273.200;117.293;154.071;320.269;425.847;   null;409.000; 97.893; 86.750;155.280;203.600;204.480;277.242;100.723;161.732; 94.667;200.870;177.350;   null;199.630;195.190;114.390; 26.310;230.680;127.350;269.050;  4.378; 17.124;109.753
2024-05-10 00:29:00;223.333;249.483; 67.300;117.217;1295.300;117.879;146.652;319.932;425.242;   null;405.000;102.406; 87.100;157.904;205.333;205.430;276.710; 97.262;159.580; 97.467;200.460;178.400;   null;198.780;203.980;114.940; 25.490;230.110;127.200;270.180;  4.848; 16.092;109.753
2024-05-10 00:30:00;219.100;259.335; 71.700;122.917;1271.800;116.135;149.064;326.939;429.675;   null;412.000;103.028; 89.500;166.760;205.733;203.334;270.968;100.936;157.700; 92.400;203.840;177.300;   null;195.010;196.730;112.270; 25.360;228.400;126.660;267.870;  4.503; 16.044;110.221
2024-05-10 00:31:00;218.133;254.296; 68.600;119.150;1275.600;120.248;149.955;325.471;426.652;   null;400.000;100.360; 87.730;166.546;207.067;212.787;275.846; 97.773;161.228; 94.667;194.730;175.190;   null;196.330;199.490;112.830; 26.300;229.170;127.650;271.110;  4.413; 15.510;107.708
2024-05-10 00:32:00;212.667;255.207; 71.433;122.117;1292.200;118.416;153.570;321.190;417.527;   null;405.000;103.588; 88.970;159.972;202.667;215.404;275.014; 96.108;158.147; 94.667;198.880;175.140;253.600;196.550;202.680;112.290; 25.820;228.810;128.220;264.700;  4.901; 15.416;111.298
2024-05-10 00:33:00;217.433;252.688; 71.683;122.333;1280.000;114.800;150.551;329.471;427.094;   null;412.000;103.285; 87.140;161.307;205.333;205.013;270.856;100.596;157.325; 98.933;198.480;181.930;   null;191.190;203.140;114.510; 25.830;227.910;126.310;270.580;  4.269; 16.706;106.271
2024-05-10 00:34:00;219.783;255.051; 70.283;118.367;1267.200;111.034;151.966;326.306;425.765;   null;405.000;100.282; 87.380;166.206;200.667;212.577;275.604;101.620;161.777; 97.067;199.430;176.490;249.200;196.120;198.390;112.600; 26.440;228.500;126.940;271.250;  4.992; 16.616;109.503
2024-05-10 00:35:00;216.550;252.987; 70.217;119.267;1278.200;114.600;149.079;325.103;418.978;   null;401.000;104.973; 88.050;167.941;202.800;205.956;276.277; 99.228;160.762; 92.667;200.000;175.050;   null;199.770;198.810;109.870; 26.070;230.230;127.220;269.330;  4.902; 16.376;108.281
2024-05-10 00:36:00;220.533;252.393; 70.983;117.200;1257.100;117.871;150.433;324.583;427.175;   null;404.000;103.192; 86.230;165.663;203.733;207.636;279.132; 98.615;160.584; 96.667;197.650;176.610;252.100;202.420;193.210;113.610; 25.420;226.170;130.770;268.210;  4.903; 16.348;109.720
2024-05-10 00:37:00;219.067;256.941; 68.533;121.983;1279.900;115.966;146.134;325.287;419.080;   null;410.000;101.076; 85.430;161.236;202.267;210.259;274.336; 95.673;158.691; 92.400;196.640;181.550;251.400;191.470;203.880;112.920; 26.220;229.800;129.450;268.300;  4.613; 16.836;108.281
2024-05-10 00:38:00;222.150;253.462; 65.783;118.067;1257.400;116.928;150.533;321.645;422.533;   null;405.000;103.620; 87.140;165.271;209.333;208.579;273.605; 96.858;159.793; 90.533;201.140;177.260;256.700;197.690;201.040;109.850; 26.580;226.310;125.050;273.070;  4.487; 17.096;109.360
2024-05-10 00:39:00;221.417;256.854; 70.917;119.017;1260.800;114.505;148.262;316.864;416.927;   null;402.000;109.405; 88.450;157.492;199.067;209.526;282.938;100.268;167.172; 94.933;197.210;172.400;253.200;196.900;197.430;111.130; 25.680;229.200;128.960;269.150;  4.596; 17.277;109.720
2024-05-10 00:40:00;223.400;254.898; 70.967;116.817;1261.100;119.187;151.588;337.549;418.879;   null;409.000;104.888; 90.520;165.011;208.933;210.683;278.829; 95.932;158.272; 98.000;199.180;176.460;   null;193.220;209.140;114.180; 26.590;228.230;128.240;267.950;  4.595; 17.517;108.892
2024-05-10 00:41:00;216.700;251.701; 71.467;126.183;1248.800;114.944;152.081;323.199;424.335;   null;398.000; 99.701; 93.080;156.405;200.800;217.286;275.583; 99.630;160.094; 91.333;201.810;175.490;   null;199.370;200.550;112.260; 26.060;223.370;127.960;269.640;  4.613; 16.179;109.360
